VALUE,DATE
11.5,1/2/1975
11.5,1/3/1975
11.5,1/6/1975
11.5,1/7/1975
11.5,1/8/1975
11.5,1/9/1975
11.5,1/10/1975
11.5,1/13/1975
11.5,1/14/1975
11.5,1/15/1975
11.5,1/16/1975
11.5,1/17/1975
11.25,1/20/1975
11.25,1/21/1975
11.25,1/22/1975
11.25,1/23/1975
11.25,1/24/1975
11,1/27/1975
11,1/28/1975
11,1/29/1975
11,1/30/1975
11,1/31/1975
11,2/3/1975
11,2/4/1975
11,2/5/1975
11,2/6/1975
11,2/7/1975
10.75,2/10/1975
10.75,2/11/1975
10.75,2/12/1975
10.75,2/13/1975
10.75,2/14/1975
10.5,2/17/1975
10.5,2/18/1975
10.5,2/19/1975
10.5,2/20/1975
10.5,2/21/1975
10.5,2/24/1975
10.5,2/25/1975
10.5,2/26/1975
10.5,2/27/1975
10.5,2/28/1975
10.5,3/3/1975
10.5,3/4/1975
10.5,3/5/1975
10.5,3/6/1975
10.5,3/7/1975
10.25,3/10/1975
10.25,3/11/1975
10.25,3/12/1975
10.25,3/13/1975
10.25,3/14/1975
10.25,3/17/1975
10.25,3/18/1975
10.25,3/19/1975
10.25,3/20/1975
10.25,3/21/1975
10,3/24/1975
10,3/25/1975
10,3/26/1975
10,3/27/1975
10,4/1/1975
10,4/2/1975
10,4/3/1975
10,4/4/1975
10,4/7/1975
10,4/8/1975
10,4/9/1975
10,4/10/1975
10,4/11/1975
10,4/14/1975
10,4/15/1975
10,4/16/1975
10,4/17/1975
10,4/18/1975
9.75,4/21/1975
9.75,4/22/1975
9.75,4/23/1975
9.75,4/24/1975
9.75,4/25/1975
9.75,4/28/1975
9.75,4/29/1975
9.75,4/30/1975
9.75,5/1/1975
9.75,5/2/1975
10,5/5/1975
10,5/6/1975
10,5/7/1975
10,5/8/1975
10,5/9/1975
10,5/12/1975
10,5/13/1975
10,5/14/1975
10,5/15/1975
10,5/16/1975
10,5/19/1975
10,5/20/1975
10,5/21/1975
10,5/22/1975
10,5/23/1975
10,5/27/1975
10,5/28/1975
10,5/29/1975
10,5/30/1975
10,6/2/1975
10,6/3/1975
10,6/4/1975
10,6/5/1975
10,6/6/1975
10,6/9/1975
10,6/10/1975
10,6/11/1975
10,6/12/1975
10,6/13/1975
10,6/16/1975
10,6/17/1975
10,6/18/1975
10,6/19/1975
10,6/20/1975
10,6/23/1975
10,6/24/1975
10,6/25/1975
10,6/26/1975
10,6/27/1975
10,6/30/1975
10,7/1/1975
10,7/2/1975
10,7/3/1975
10,7/4/1975
10,7/7/1975
10,7/8/1975
10,7/9/1975
10,7/10/1975
10,7/11/1975
10,7/14/1975
10,7/15/1975
10,7/16/1975
10,7/17/1975
10,7/18/1975
10,7/21/1975
10,7/22/1975
10,7/23/1975
10,7/24/1975
10,7/25/1975
11,7/28/1975
11,7/29/1975
11,7/30/1975
11,7/31/1975
11,8/1/1975
11,8/4/1975
11,8/5/1975
11,8/6/1975
11,8/7/1975
11,8/8/1975
11,8/11/1975
11,8/12/1975
11,8/13/1975
11,8/14/1975
11,8/15/1975
11,8/18/1975
11,8/19/1975
11,8/20/1975
11,8/21/1975
11,8/22/1975
11,8/26/1975
11,8/27/1975
11,8/28/1975
11,8/29/1975
11,9/1/1975
11,9/2/1975
11,9/3/1975
11,9/4/1975
11,9/5/1975
11,9/8/1975
11,9/9/1975
11,9/10/1975
11,9/11/1975
11,9/12/1975
11,9/15/1975
11,9/16/1975
11,9/17/1975
11,9/18/1975
11,9/19/1975
11,9/22/1975
11,9/23/1975
11,9/24/1975
11,9/25/1975
11,9/26/1975
11,9/29/1975
11,9/30/1975
11,10/1/1975
11,10/2/1975
11,10/3/1975
12,10/6/1975
12,10/7/1975
12,10/8/1975
12,10/9/1975
12,10/10/1975
12,10/13/1975
12,10/14/1975
12,10/15/1975
12,10/16/1975
12,10/17/1975
12,10/20/1975
12,10/21/1975
12,10/22/1975
12,10/23/1975
12,10/24/1975
12,10/27/1975
